=== ADMINS ===
admin01 Admin123
admin02 Admin223
admin03 Admin323

=== USERS ===
user_jean_martin1 Password1
user_pierre_bernard2 Password2
user_marie_dubois3 Password3
user_sophie_thomas4 Password4
user_lucas_robert5 Password5
user_emma_richard6 Password6
user_louis_petit7 Password7
user_lea_durand8 Password8
user_hugo_leroy9 Password9
user_chloe_moreau10 Password10
user_antoine_simon11 Password11
user_camille_laurent12 Password12
user_maxime_lefebvre13 Password13
user_julie_michel14 Password14
user_thomas_garcia15 Password15
user_manon_david16 Password16
user_nicolas_bertrand17 Password17
user_laura_roux18 Password18
user_alexandre_vincent19 Password19
user_sarah_fournier20 Password20
user_romain_morel21 Password21
user_oceane_girard22 Password22
user_julien_andre23 Password23
user_mathilde_lefevre24 Password24
user_florian_mercier25 Password25
user_pauline_dupont26 Password26
user_quentin_lambert27 Password27
user_marine_bonnet28 Password28
user_baptiste_francois29 Password29
user_anais_martinez30 Password30
user_victor_legrand31 Password31
user_clemence_garnier32 Password32
user_theo_faure33 Password33
user_margot_rousseau34 Password34
user_nathan_blanc35 Password35
user_ines_guerin36 Password36
user_gabriel_muller37 Password37
user_jade_henry38 Password38
user_raphael_roussel39 Password39
user_lola_nicolas40 Password40
user_adam_perrin41 Password41
user_charlotte_robin42 Password42
user_leo_aubert43 Password43
user_alice_lemaire44 Password44
user_arthur_renaud45 Password45
user_juliette_dumas46 Password46
user_ethan_lacroix47 Password47
user_louise_fontaine48 Password48
user_noah_chevalier49 Password49
user_anna_clement50 Password50
user_liam_gauthier51 Password51
user_eva_boyer52 Password52
user_jules_gautier53 Password53
user_clara_roche54 Password54
user_enzo_roy55 Password55
user_celia_noel56 Password56
user_mael_meyer57 Password57
user_zoe_lucas58 Password58
user_aaron_meunier59 Password59
user_elsa_jean60 Password60
user_tom_perez61 Password61
user_rose_marchand62 Password62
user_paul_dufour63 Password63
user_victoire_blanchard64 Password64
user_axel_marie65 Password65
user_lucie_barbier66 Password66
user_eden_brun67 Password67
user_agathe_picard68 Password68
user_nolan_caron69 Password69
user_ambre_masson70 Password70
user_gabin_lemoine71 Password71
user_lena_giraud72 Password72
user_mathis_sanchez73 Password73
user_noemie_nguyen74 Password74
user_simon_ferrand75 Password75
user_capucine_lopez76 Password76
user_timothe_fabre77 Password77
user_elise_leroux78 Password78
user_oscar_colin79 Password79
user_gabrielle_arnaud80 Password80
user_samuel_vidal81 Password81
user_apolline_renard82 Password82
user_martin_dupuis83 Password83
user_adele_brunet84 Password84
user_esteban_schmitt85 Password85
user_jeanne_lecomte86 Password86
user_ruben_fernandez87 Password87
user_helene_pierre88 Password88
user_sacha_benoit89 Password89
user_margaux_carpentier90 Password90
user_louis_fleury91 Password91
user_constance_rodriguez92 Password92
user_thibault_boucher93 Password93
user_diane_jacquet94 Password94
user_corentin_adam95 Password95
user_salome_paris96 Password96
user_dylan_poirier97 Password97
